Title,Author,Pages,Publisher,Year,Image,Text,Field
" نشرة المكتبة. المجلد 1. 1878، العدد 8",مكتبة جامعة هارفارد,44,جامعة هارفارد,1878 م,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11372212_00001/full/full/0/default.jpg,"HARVARD UNIVERSITY.
LIBRARY BULLETIN No. 8.
JUNE 1ST, 1878.
12
COUNCIL OF THE UNIVERSITY LIBRARY.
CHARLES W. ELIOT, President of the University.
HENRY W. TORREY, Professor of Ancient and Modern History.
EZRA ABBOT, Professor of New Testament Criticism and Interpretation.
WOLCOTT GIBBS, Professor on the Application of Science to the Useful Arts.
FRANCIS J. CHILD, Professor of English.
CHARLES ELIOT NORTON, Professor of the History of Art.
JUSTIN WINSOR, Librarian of the University.
GEORGE L. GOODALE, Assistant Professor of Vegetable Physiology.
COLLEGE LIBRARY.
JUSTIN WINSOR, Librarian.
JOHN FISKE, Assistant Librarian in Charge ofthe Catalogue.
GEORGE F. ARNOLD, Curator of the Shelves.
THOMAS J. KIERNAN, Supt. of Circulation.
DEPARTMENTAL LIBRARIES.
The care of the several libraries devolves upon some member of the faculties of the respective
departments when regular librarians have not been appointed.
JOHN B. S. JACKSON, Professor and Curator of the Museum, Medical School.
HENRY L. EUSTIS, Professor and Dean of the Lawrence Scientific School.
FRANCIS H. STORER, Professor and Dean ofthe Bussey Institution.
EDWARD C. PICKERING, Professor and Director of the Astronomical Observatory.
SERENO WATSON, Curator ofthe Herbarium, Botanic Garden.
JOHN H. ARNOLD, Librarian of the Law School.
FREDERICK MEAKIN, Librarian of the Divinity School.
MISS F. M. SLACK, Librarian of the Zoological Museum.
EXTRACTS FROM THE STATUTES OF THE UNIVERSITY.
The College Library in Gore Hall, is for the use of the whole University. Its privileges are
also granted, under special regulations, to persons not connected with the University. [Blanks for
making application for such use may be had of the Librarian.] It is the duty of the Council to make
rules for the administration of the Library; to direct the purchase of books to the extent of the
funds applicable for that purpose; and to visit and inspect the Theological, Law, Medical, and
other special libraries. The Librarian has the care and custody of the Library. It is his duty to
superintend its internal administration, enforce the rules, and conduct the correspondence; and
to make annually a written report on the condition of the Library to the Library Committee of
the Overseers, and to the Corporatio",تاريخ الأدب
 تاريخ مصر القديمة,George Rawlinson,570,"إس. إي. كاسينو، ناشر
",1882 م,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11612539_00012/full/full/0/default.jpg, تاريخ مصر القديمة," تاريخ العصور القديمة
"
 فرمان صادر عن جهانشاه قرة قویونلو (Qara Quyunlu),جهانشاه قرة قویونلو (Jahanshah Qara Quyunlu),1,"معهد المخطوطات القديمة “ماتناداران” (Matenadaran)، يريفان، أرمينيا.", 838 هـ,https://asnad.org/media/facsimiles/sanad_001034-01.jpg,"“أمر إلى الألكية (الأمراء) والحكام والدروغة (المراقبين) والمتوكلين (القائمين على الأوقاف) والعمال والمتصدّين للشؤون والإشغال، وأمير تومان قيانات وآران وأرسبار، خصوصًا شاني وملكان، ومقدّمي المواضع…”

أُبلغ هؤلاء جميعًا بأمر السلطان المعظم، ليعلموا أنّه في هذا الوقت جاء زعيم آل المسيح، شماون ورتايد، إلى حضرة السلطان (عالم‌پناه)، وبعد أن قدّم فروض الطاعة والدعاء بدوام الدولة وازدهارها،

عرض عليهم الأوامر السابقة للسلاطين، والحكم العالي الذي كان قد صدر بتصديق، ومفاده:

أن وانك طاطيف ووانك وغادي، وهي الأماكن التي كانت مقامه ومسكنه، والأراضي التابعة لأوقافه والتي كان يزرعها، معفاة من الأموال والضرائب والعوائد الديوانية، ومحرّرة، فلا تُطالب المزروعات والحاصلات والعوائد الخاصة بها بأي مال أو ضريبة.

ويُعتبر أتباعه ومعاونوه مرفوعي القلم (معفيين من الضرائب والغرامات)، لذا وجب اتباع هذا الأمر بعون الله تعالى في جميع الأقاليم والأنصار (الأنحاء).

يجب إبقاء ممتلكاتهم معفاة وفق النظام القديم والقواعد المستمرة، كما في السابق، ويعامل الكهنة والرهبان في ولاية “كوكچه” (اسم موضع) بالاحترام والتقديم، ويجب عليهم خدمة شماون ورتايد، والالتزام بشروط الطاعة.

كما يجب أن تُعطى النذور التي كان الناس يعطونها لوانك طاطيف منذ القدم، حسب النظام القديم.

ويجب على “ملكان” و”داروغكان أروط” (حكام ومراقبي أروط) اتباع هذا الأمر السلطاني وعدم مخالفته.
مهر سلطان جهانشاه",فرمان (مرسوم سلطاني)
رسالة من كمال الملك إلى يحيى ميرزا دولتشاهي   (6 من 6),"محمد غفاري، المعروف بـ كمال الملك",1,Digital Persian Archive,1359 هـ ,https://asnad.org/media/facsimiles/sanad_001009-01.jpg,"“أقبّل قدميك”

الخط المبارك لحضرتكم الذي تفضلتم به بمناسبة تهنئة العيد، وصل وتمت رؤيته،
وقد تشكرتُ غاية الشكر من كونكم لم تنسوا هذا العليل المسكين العاجز
في هذه الزاوية المنعزلة من الصحراء.
وأسأل الله المتعال من باب الألوهية أن يمنّ على حضرتكم العالية بكل أنواع السعادة والرضا،
وآمل أن تقضوا عمركم دائمًا في السرور والسعادة والفرح.

محمد غفاري (كمال الملك القديم)","رسائل ومراسلات
"
"رسالة من كمال الملك إلى يحيى ميرزا دولتشاهي (4 من 6)
","محمد غفاري، المعروف بـ كمال الملك",2,Digital Persian Archive,1357 هـ,https://asnad.org/media/facsimiles/sanad_001007-01.jpg,"السيد يحيى ميرزا دولتشاهي
وصلتني رسالتكم بشأن الاستفسار عن وضعكم الدراسي بعد الحصول على الدبلوم،
وأقرّ جوابًا بأنكم كنتم من طلابي الجيدين، وبعد حصولكم على الدبلوم العالي في الفنون الجميلة في سنة 1299 شمسية (1920 م)، واصلتم الدراسة عندي بجدية تامة حتى سنة 1306 شمسية (1927 م) لإكمال وتعلّم المزيد من المعارف الرفيعة في مجال الفنون الجميلة،
وأنا أشعر بالرضا التام والسرور تجاه نجاحكم وتفوقكم.

محمد غفاري
كمال الملك القديم","رسائل ومراسلات
"
كتاب “الفهرست” لابن النديم, أبو الفرج محمد بن إسحاق بن محمد بن إسحاق الورّاق البغدادي المعروف بابن النديم.,179,المكتبة الشاملة,380 هـ,https://mega.nz/file/yJVAQLRS#Y_XumVbi0MQqvvqpuDoWZ5qR47iaOyH7iAZ3NrIyTww,"﷽

كان الاسلام فاتحة عهد جديد من النور والمعرفة، راجت في بلاده سوق العلم، وعظم شأن العلماء، وكثر التأليف والتصنيف في شتى ابواب المعرفة والعلوم، وكثرت المكتبات العامة والخاصة فاشتدت الحاجة إلى كتب تفهرس لهذه الكتب وتدل على المؤلفين وما الفوه في ابواب مقسمه على العلوم ليسهل على الباحث ادراك بغيته في اقصر وقت، واسهل سبيل، وكان لكتاب الفهرست للنديم النصيب الاوفى في سد هذه الحاجة، وهو لا يزال منارا هاديا إلى معرفة الكتب المؤلفة أو المترجمة في القرون الاسلامية الاولى إلى يومنا هذا.

ان الذى سهل على النديم قيامه بهذا العمل كونه وراقا، والوراقون اخبر الناس بالكتب واسمائها وموادها لا سيما إذا ما توفر لاحدهم الثقافة والعلم والخبرة كما توفر كل ذلك لصاحبنا مؤلف الفهرست. ومع اننا لا نعرف بالضبط متى شرع هذا الرجل العبقري بعمله لان المآخذ التاريخية التى من شأنها الكشف عن مثل هذه الغوامض ساكته لم تكرث بها، لا يبقى لنا الا الحدس في مثل هذه الامور. فإذا ما علمنا من الفهرست (١) انه في سنه (٣٤٠) كان يلتقى مع العلماء ويأخذ عنهم فقد يتبادر إلى الذهن ويقبله العقل ان المؤلف قد اخذ بجمع مواد كتابه منذ وقت مبكر ثم اخذ يكمله شيئا فشيئا حتى دفع به إلى نساخه في سنه (٣٧٧) للتبيض وقد تداول الناس الكتاب والمؤلف حى، لكنه لم يعش طويلا بعد الفراغ من نسخ الكتاب، ولعله كان مثقلا بوطأة المرض فراى ان يعجل باخراجه للناس رغم ما كان فيه مواضيع متروكة بياضا.

فلقد توفى على ما ذكره الصفدى والذهبي والمقريزي في يوم الأربعاء لعشر بقين من شعبان سنة ثمانين وثلثمائة وهذا يدل على أن المؤلف عاش ثلاث سنين فقط بعد الفراغ من نسخ الكتاب.

اما سبب تعلقي بهذا الكتاب واخراجه مرة ثانية بعد طبعة جوستاف فلوجل فهو ان بعض الاساتذه قد اقترح على ترجمة الكتاب إلى اللغة الفارسية، ولم يكن بين يدى آنذاك الا الطبعة المصرية للكتاب فلما باشرت الترجمة ضقت ذرعا بكثره الاخطاء المتفشية فيه، وعندئذ رأيت انه لا بد من الرجوع إلى نسخة فلوجل المطبوعة في ليبزح الالمانية سنة ١٨٧٢ الميلادية، وقد بذلت وقتا ومالا حتى امكنني الحصول على نسخة من الكتاب في ليدن من بلاد هولنده، فلما رأيت طبعة فلوجل علمت ان المصرية صورة طبق الاصل عنها غير ان الطبعة المصرية خلت من الهوامش والحواشي والتوضيحات التى هي في طبعة فلوجل. وابدلت عنه باضافة تكملة صغيره غير موجودة في طبعة فلوجل",بيبلوغرافيات - تراجم
 فضائل مكة والسكن فيها,"الحسن بن يسار البصري، أبو سعيد",40,مكتبة الفلاح - الكويت,110 هـ,https://www.noor-book.com/publice/covers_cache_webp/1/0/3/1/11d53d834a031ed11dd69c6dab99db3c.jpg.webp,"فَضَائِل مَكَّة

بِسم الله الرَّحْمَن الرَّحِيم

أخبرنَا الشَّيْخ الْفَقِيه الْحَافِظ أَبُو الْفضل جَعْفَر بن الْحسن ابْن جَعْفَر الْهَمدَانِي قَالَ أخبرنَا الشَّيْخ الامام أَبُو طَاهِر أَحْمد بن مُحَمَّد السلَفِي الاصفهاني قِرَاءَة عَلَيْهِ فِي جُمَادَى الأولى سنة احدى وَسبعين وخمسماية قَالَ أخبرنَا القَاضِي أَبُو اسحق ابراهيم بن مُحَمَّد بن الْحُسَيْن الغضائري ب (دربند) قِرَاءَة عَلَيْهِ مني فِي شَوَّال سنة ثَلَاثِينَ وخمسماية قَالَ كتب إِلَيّ أَبُو مَنْصُور مُحَمَّد بن أَحْمد بن الْقَاسِم الاصفهاني الْمُقْرِئ من ثغر (آمد) أَن أَبَا الْحسن عَليّ بن الْحَاضِر بن عَليّ الْبَغْدَادِيّ بالفسطاط قَالَ أخبرنَا أَبُو الْحسن عَليّ بن عبد الرَّحْمَن الشَّافِعِي بِمَكَّة قَالَ أخبرنَا أَبُو الْحسن عَليّ بن عبد الله الْهَمدَانِي قَالَ أخبرنَا أَبُو الْحسن مُحَمَّد ابْن نَافِع قَالَ أخبرنَا أَبُو الْحسن مُحَمَّد بن ابراهيم بن مَعْرُوف الصيدلاني قَالَ حَدثنَا عبد الله بن أَحْمد بن صَالح التَّمِيمِي قَالَ حَدثنَا أبي قَالَ حَدثنَا عبد الله بن عبد الحميد أَو الْمجِيد الْحَنَفِيّ قَالَ حَدثنَا عُبَيْدَة أَو هُبَيْرَة الْبَاجِيّ الحدادح",كتب السنة 
 تخريج الفروع على الأصول,أبو المناقب شهاب الدين محمود بن أحمد الزنجاني,393,مؤسسة الرسالة - بيروت,١٣٩٨ ه,https://www.noor-book.com/publice/covers_cache_webp/18/6/f/4/e6141cc4ba6f4e9a7adaa038bff67616.jpg.webp,"[كتاب الطهارة]

مسألة

ذهب الشافعي ﵁ وجماهير أهل السنة إلى أن الطهارة والنجاسة وسائر المعاني الشرعية كالرق والملك والعتق والحرية وسائر الأحكام الشرعية ككون المحل طاهرا أو نجسا وكون الشخص حرا أو مملوكا مرقوقا ليست من صفات الأعيان المنسوبة إليها بل أثبتها الله تحكما وتعبدا غير معللة لا راد لقضائه ولا معقب لحكمه لا يسال عما يفعل وهم يسألون ولا تصل آراؤنا الكليلة وعقولنا الضعيفة وأفكارنا القاصرة إلى الوقوف على حقائقها وما يتعلق بها من مصالح العباد فذلك حاصل ضمنا",كتب الفقه الحنبلي
وفيات الأعيان وأنباء أبناء الزمان (ترجمه المؤلف),أبو العباس شمس الدين أحمد بن محمد بن إبراهيم بن أبي بكر ابن خلكان البرمكي الإربلي,1,دار صادر - بيروت,٦٨١هـ,http://www.al-ilmiyah.com/Covers/front_medium/978-2-7451-2577-4.jpg,غلاف الكتاب,التراجم والطبقات
وفيات الأعيان وأنباء أبناء الزمان (ترجمه المؤلف),أبو العباس شمس الدين أحمد بن محمد بن إبراهيم بن أبي بكر ابن خلكان البرمكي الإربلي,1,دار صادر - بيروت,٦٨١هـ,https://github.com/Ahmed-Mohamed-Ali2023/heritage-audio-library/blob/main/images/%D8%AA%D8%B1%D8%AC%D9%85%D9%87%20%D8%A7%D9%84%D9%85%D8%A4%D9%84%D9%81%20%D9%83%D8%AA%D8%A7%D8%A8%20%D9%88%D9%81%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A7%D8%B9%D9%8A%D8%A7%D9%86.PNG?raw=true,""" قاضي القضاة شمس الدين ابن خلكان  

أحمد بن محمد بن إبراهيم بن خلكان قاضي القضاة شمس الدين أبو العباس البرمكي الإربلي الشافعي، ولد بإربل سنة ثمان وستمائة وسمع بها "" صحيح البخاري "" من أبي محمد بن هبة الله بن مكرم الصوفي وأجاز له المؤيد الطوسي وعبد المعز الهروي وزينب الشعرية. روى عنه المزي والبرزالي والطبقة، وكان فاضلاً بارعاً متفنناً عارفاً بالمذهب حسن الفتاوي جيد القريحة بصيراً بالعربية علامة في الأدب والشعر وأيام الناس، كثير الاطلاع حلو المذاكرة وافر الحرمة، فيه رياسة كبيرة، له كتاب "" وفيات الأعيان "" وقد اشتهر كثيراً وله مجاميع أدبية. قد الشام في شبيبته وقد تفقه بالموصل على كمال الدين ابن يونس وأخذ بحلب عن القاضي بهاء الدين ابن شداد وغيرهما. ودخل مصر وسكنها مدة وتأهل بها وناب بها في القضاء عن القاضي بدر الدين السنجاري ثم قد الشام على القضاء في ذي الحجة سنة تسع وخمسين منفرداً بالأمر ثم أقيم معه في القضاء ثلاثة سنة أربع وستين وكان ذلك في جمادى الأولى جاء من مصر ثلاثة تقاليد لشمس الدين عبد الله بن محمد بن عطاء الحنفي ولزين الدين عبد السلام الزواوي المالكي ولشمس الدين عبد الرحمن ابن الشيخ أبي عمر الحنبلي فلم يقبل المالكي ووافق الحنفي والحنبلي، وكان الحنفي قبل ذلك نائبا للشافعي، ثم إن الأمر من مصر ورد بإلزام المالكي وامتنع المالكي والحنبلي من أخذ الجامكية وقالا نحن في كفاية. قال شهاب الدين أبو",التراجم والطبقات
وفيات الأعيان وأنباء أبناء الزمان (تحقيق الكتاب),أبو العباس شمس الدين أحمد بن محمد بن إبراهيم بن أبي بكر ابن خلكان البرمكي الإربلي,1,دار صادر - بيروت,٦٨١هـ,https://github.com/Ahmed-Mohamed-Ali2023/heritage-audio-library/blob/main/images/%D8%AA%D8%AD%D9%82%D9%8A%D9%82%20%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8%20%D9%88%D9%81%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A7%D8%B9%D9%8A%D8%A7%D9%86.PNG?raw=true,"تحقيق الكتاب 
بين عامي ١٨٣٥ و ١٨٥٠، قام الأستاذ فردينند وستنفيلد بنشر كتاب ((وفيات الأعيان)) في اثني عشر جزءاً، وخصص الجزء الثالث عشر لاختلاف القراءات وللزيادات في النسخ المختلفة وللفهارس العامة. وقد اعتمد في طبعته هذه على النسخ الآتية:
١ - النسخة "" أ "": وهي من مخطوطة بليدن نسخ القسم الأعظم منها لورسباخ من مخطوطة كان يملكها شولتز وأخيراً اشترتها مكتبة جوتنجن سنة ١٩١٧؛ وتتألف من ست مجلدات متوسطة الحجم من قطع الربع وفيها بعض صفحات خالية. وكان ما نسخه لورسباخ منها جيداً مساوياً مساوياً للأصل في دقته.
٢ - النسخة "" ب "": وهي من غوطا، وتشمل ما يقارب نصف الكتاب وتنتهي بترجمة أبي محمد عبد الملك بن هشام وتعد من اقدم المخطوطات إذ أنها كتبت بعد وفاة المؤلف باثنتى عشرة سنة إذ في آخرها: "" كتب هذا الكتاب في مساء الأحد لثلاث بقين من جمادى الأول سنة ٦٩٣، وكتبه العبد الفقير أبو الرحى ابن أبي الحسن بن يوسف ابن أبي الرحى بن سعيد الاسرائيلي بدمشق المحروسة عن اصل يملكه القاضي علاء الدين علي بن شمس الدين محمد بن غانم كاتب الديوان "". وهذه النسخة التي كان يملكها القاضي علاء الدين نسخت سنة ٦٩٢ بخط تاج الدين معتوق بن سعد الاسعردي السميساطي وعلى النسخة تملكات مؤرخة آخرها سنة ١٠٣٦، وعلى الصفحة الأولى منها ترجمة لابن خلكان مأخوذة من كتاب "" تذكرة النبيه "" لحسن بن حبيب الكلبي، وعلى هوامشها حواش وتعليقات لبعض العلماء تتفاوت في قيمتها.
٣ - النسخة "" ج "": وهي من برلين، كتبت بخط دقيق وجاءت في مجلد واحد يشمل الكتاب كله وتاريخ نسخها سنة ١٠٨٣، فهي حديثة نسبيا كما أن تراجمها كثيرا ما تكون موجزة.
٤ - النسخة "" د "": وهي من برلين أيضاً وتقع في أربعة أجزاء إلا أن الجزء الرابع فيها ناقص، وهي من أشد النسخ إسهابا في الترجمات ومن أكثرها عدد تراجم وكثيرا ما يختلف ترتيب التراجم فيها عن النسخ الأخرى وقد كتب الجزء الثاني منها سنة ١١٢٦هـ وفي آخر الجزء الثالث عبارة هامة يذكر فيها المؤلف أنه ترك القاهرة لأنه عين قاضيا بدمشق ولهذا توقف عن إتمام الكتاب.
٥ - النسخة "" هـ "": وهي مخطوطة أخرى من غوطا وتاريخ نسخها ١٢٠١.
وقد اختار الأستاذ وستنفيلد الاعتماد على نسخة "" ب "" لأنها أقدم النسخ وخاصة حين تتفق معها نسخة أخرى، ولم يكن يفارق قراءة "" ب "" إلا إذا اتفقت فيها النسخ الأخرى دونها، ويقول أن "" ب "" و "" د "" تتفقان كثيرا في القراءة بينما تتفق "" أ "" و "" ج "" في قراءة أخرى.
وبعد أن مضى شوطا في العمل، اعتمد على مخطوطات أخرى منها "" ف ""، التي تمثل نسخة لبعض أصدقاء المحقق نسخها بخطه عن أصل في باريس. ثم حصل على نسخة ثالثة من غوطا - رقم ٤١٧ - وهي قطعة ناقصة من أولها وآخرها إلا أنها قديمة جيدة الخط والقراءة وهي تكمل النسخة "" ب ""، ويقول أنه لم يستطع الحصول على جميع المخطوطة عند تحقيقه الكتاب وإنما قرأ معضمها وقيد الخلاف بينها وبين سائر المخطوطات.
ويبدو من هذا العرض أن طبعة وستنفيلد تمثل تلفيقا بين هذه المخطوطات العديدة في عدد التراجم لأنه ليست هناك نسخة من النسخ المذكورة قد استوفت ذلك العدد كاملاً. وقد انتهى عدد تراجم الكتاب في هذه الطبعة إلى ٨٦٥ ترجمة، إلا أن بعضها لم يذكر منه إلا الاسم ولم يكتب المؤلف عنه شيئا من الخبر. ويبدو أن هذه العملية التلفيقية أمر لا معدا عنه لأن النسخ الخطية من الكتاب كثيرة جدا ولسنا نعلم أيها يمثل المرحلة الأولى في التأليف وأيها يمثل المرحلة الأخيرة وأيها هو الواقع بين المرحلتين؛ ولهذا آثرت إبقاء ما أختاره وستنفيلد على حاله واستأنست في مراجعة عمله بمخطوطتين:
",التراجم والطبقات
وفيات الأعيان وأنباء أبناء الزمان (حرف الهمزة) أبو ثور صاحب الشافعي,أبو العباس شمس الدين أحمد بن محمد بن إبراهيم بن أبي بكر ابن خلكان البرمكي الإربلي,1,دار صادر - بيروت,٦٨١هـ,https://github.com/Ahmed-Mohamed-Ali2023/heritage-audio-library/blob/main/images/%D8%A7%D8%A8%D9%88%20%D8%AB%D9%88%D8%B1%20%D9%83%D8%AA%D8%A7%D8%A8%20%D9%88%D9%81%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A7%D8%B9%D9%8A%D8%A7%D9%86.PNG?raw=true,"أبو ثور إبراهيم بن خالد بن أبي اليمان الكلبي الفقيه البغدادي صاحب الإمام الشافعي رضي الله عنه وناقل الأقوال القديمة عنه؛ وكان أحد الفقهاء الأعلام والثقات المأمونين في الدين، له الكتب المصنفة في الأحكام جمع فيها بين الحديث والفقه، وكان أول اشتغاله بمذهب أهل الرأي، حتى (٢) قدم الشافعي العراق فاختلف إليه واتبعه ورفض مذهبه الأول، ولم يزل على ذلك إلى أن توفي لثلاث بقين من صفر سنة ست وأربعين ومائتين ببغداد، ودفن بمقبرة باب الكناس (٣) ، رحمه الله تعالى. وقال أحمد بن حنبل: هو عندي في مسلاخ سفيان الثوري، أعرفه بالسنة منذ خمسين سنة.",التراجم والطبقات
وفيات الأعيان وأنباء أبناء الزمان (حرف الهمزة) أبو إسحاق المروزي,أبو العباس شمس الدين أحمد بن محمد بن إبراهيم بن أبي بكر ابن خلكان البرمكي الإربلي,1,دار صادر - بيروت,٦٨١هـ,https://github.com/Ahmed-Mohamed-Ali2023/heritage-audio-library/blob/main/images/%D8%A7%D8%A8%D9%88%20%D8%A7%D8%B3%D8%AD%D8%A7%D9%82%20%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%B2%D9%8A.PNG?raw=true,"أبو إسحاق إبراهيم بن أحمد بن إسحاق المروزي الفقيه الشافعي؛ إمام
عصره في الفتوى والتدريس، أخذ الفقه عن أبي العباس بن سريج وبرع فيه، وانتهت إليه الرياسة بالعراق بعد ابن سريج، وصنف كتباً كثيرة، وشرح مختصر المزني، وأقام ببغداد دهراً طويلاً يدرس ويفتي، وأنجب من أصحابه خلق كثير، وإليه ينسب درب المروزي ببغداد الذي في قطيعة الربيع (١) . ثم ارتحل إلى مصر في أواخر عمره فأدركه أجله بها فتوفي لتسع خلون من رجب سنة أربعين وثلثمائة، ودفن بالقرب من تربة الإمام الشافعي، رضي الله عنه؛ وقيل: إنه توفي بعد العتمة (٢) من ليلة السبت لإحدى عشرة ليلة خلت من رجب من السنة المذكورة وذكره الخطيب في تاريخه.
والمروزي - بفتح الميم وسكون الراء وفتح الواو وبعدها زاء معجمة - نسبة إلى مرو الشاهجان، وهي إحدى كراسي خراسان أربع مدن: هذه، ونيسابور، وهراة وبلخ. إنما قيل لها مروالشاهجان لتتميز عن مرو الروذ، والشاهجان: لفظ عجمي، تفسيره روح الملك، فالشاه: الملك، والجان: الروح، وعادتهم أن يقدموا ذكر المضاف إليه على المضاف، ومرو هذه بناها الإسكندر ذو القرنين، وهي سرير الملك بخراسان، وزادوا في النسبة إليها زاء كما قالوا في النسبة إلى الري: رازي، وإلى إصطخر: إصطخرزي، على إحدى النسبتين، إلا أن هذه الزيادة تختص ببني آدم عند أكثر أهل العلم بالنسب، ماعدا ذلك لا يزاد فيه الزاء، فيقال: فلان المروزي والثوب وغيره من المتاع مروي - بسكون الراء - وقيل: إنه يقال في الجميع بزيادة الزاء، ولا فرق بينهما، وهو من باب تغيير النسب، وسيأتي في ترجمة القاضي أبي حامد أحمد بن عامر المروروذي الفقيه الشافعي بقية الكلام على هذين البلدين، إن شاء الله تعالى.

",التراجم والطبقات
وفيات الأعيان وأنباء أبناء الزمان (حرف الهمزة) الأستاذ الإسفرايني,أبو العباس شمس الدين أحمد بن محمد بن إبراهيم بن أبي بكر ابن خلكان البرمكي الإربلي,1,دار صادر - بيروت,٦٨١هـ,https://github.com/Ahmed-Mohamed-Ali2023/heritage-audio-library/blob/main/images/%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0%20%D8%A7%D9%84%D8%A7%D8%B3%D9%81%D8%B1%D8%A7%D9%8A%D9%86%D9%8A.PNG?raw=true,"أبو إسحاق إبراهيم بن محمد بن إبراهيم بن مهران الإسفرايني الملقب بركن الدين، الفقيه الشافعي المتكلم الأصولي؛ ذكره الحاكم أبو عبد الله، وقال: أخذ عن الكلام والأصول عامة شيوخ نيسابور، وأقر له بالعلم أهل العراق، وخراسان، وله التصانيف الجليلة، منها: كتابه الكبير الذي سماه جامع الحلى في أصول الدين والرد على الملحدين رأيته في خمسة مجلدات، وغير ذلك من المصنفات، وأخذ عنه القاضي أبو الطيب الطبري أصول الفقه بإسفراين (٢) وبنيت له المدرسة المشهورة بنيسابور، وذكره أبو الحسن عبد الغافر الفارسي، في سياق تاريخ نيسابور، فقال في حقه: أحد من بلغ حد الاجتهاد من العلماء لتبحره في العلوم واستجماعه شرائط الإمامة، وكان طراز ناحية الشرق، وكان يقول: أشتهي أن أموت بنيسابور حتى يصلي علي جميع أهل نيسابور فتوفي بها يوم عاشوراء، سنة ثماني عشرة وأربعمائة، ثم نقلوه إلى إسفراين، ودفن في مشهده، رحمة الله تعالى. واختلف إلى مجلسه أبو القاسم القشيري، وأكثر الحافظ أبو بكر البيهقي الرواية عنه في تصانيفه وغيره من المصنفين، رحمهم الله أجمعين، وسمع بخراسان أبا بكر الإسماعيلي، وبالعراق أبا محمد دعلج بن أحمد السجزي وأقرانهما، وسيأتي الكلام على إسفراين في ترجمة الشيخ أبي أحمد بن محمد الإسفرايني.",التراجم والطبقات
